district_id;district_name;year;month;week;cases;population;area_km2;density;cases_per_100k
Q8;Quận 8;2022;3;11;51;424667.0;19.18;22.222;12.009
TB;Tân Bình;2022;3;11;48;474792.0;22.43;21.168;10.11
TP;Tân Phú;2022;3;11;50;485348.0;15.97;30.391;10.302
TD;Thủ Đức;2022;3;11;164;1169967.0;211.56;5.53;14.017
BC;Bình Chánh;2022;3;12;133;705508.0;252.69;2.793;18.852
BT;Bình Tân;2022;3;12;136;784173.0;52.02;15.074;17.343
BTH;Bình Thạnh;2022;3;12;68;499164.0;20.76;24.021;13.623
CG;Cần Giờ;2022;3;12;9;71526.0;704.45;102.0;12.583
CC;Củ Chi;2022;3;12;64;462047.0;434.77;1.063;13.851
GV;Gò Vấp;2022;3;12;79;676899.0;19.73;34.308;11.671
HM;Hóc Môn;2022;3;12;71;542243.0;109.17;4.967;13.094
NB;Nhà Bè;2022;3;12;28;206837.0;100.43;2.06;13.537
PN;Phú Nhuận;2022;3;12;14;163961.0;4.86;33.599;8.539
Q1;Quận 1;2022;3;12;20;142625.0;7.73;18.451;14.023
Q10;Quận 10;2022;3;12;11;234819.0;5.72;41.052;4.684
Q11;Quận 11;2022;3;12;18;209867.0;5.14;40.83;8.577
Q12;Quận 12;2022;3;12;81;620146.0;52.74;11.921;13.061
Q3;Quận 3;2022;3;12;15;190375.0;4.92;38.694;7.879
Q4;Quận 4;2022;3;12;21;175329.0;4.18;41.945;11.977
Q5;Quận 5;2022;3;12;17;159073.0;4.27;37.254;10.687
Q6;Quận 6;2022;3;12;20;233561.0;7.19;32.712;8.563
Q7;Quận 7;2022;3;12;43;360155.0;35.69;10.091;11.939
Q8;Quận 8;2022;3;12;44;424667.0;19.18;22.222;10.361
TB;Tân Bình;2022;3;12;55;474792.0;22.43;21.168;11.584
TP;Tân Phú;2022;3;12;63;485348.0;15.97;30.391;12.98
TD;Thủ Đức;2022;3;12;196;1169967.0;211.56;5.53;16.753
BC;Bình Chánh;2022;3;13;127;705508.0;252.69;2.793;18.001
BT;Bình Tân;2022;3;13;124;784173.0;52.02;15.074;15.813
BTH;Bình Thạnh;2022;3;13;63;499164.0;20.76;24.021;12.621
CG;Cần Giờ;2022;3;13;10;71526.0;704.45;102.0;13.981
CC;Củ Chi;2022;3;13;78;462047.0;434.77;1.063;16.881
GV;Gò Vấp;2022;3;13;93;676899.0;19.73;34.308;13.739
HM;Hóc Môn;2022;3;13;71;542243.0;109.17;4.967;13.094
NB;Nhà Bè;2022;3;13;29;206837.0;100.43;2.06;14.021
PN;Phú Nhuận;2022;3;13;10;163961.0;4.86;33.599;6.099
Q1;Quận 1;2022;3;13;11;142625.0;7.73;18.451;7.713
Q10;Quận 10;2022;3;13;14;234819.0;5.72;41.052;5.962
Q11;Quận 11;2022;3;13;28;209867.0;5.14;40.83;13.342
Q12;Quận 12;2022;3;13;75;620146.0;52.74;11.921;12.094
Q3;Quận 3;2022;3;13;21;190375.0;4.92;38.694;11.031
Q4;Quận 4;2022;3;13;23;175329.0;4.18;41.945;13.118
Q5;Quận 5;2022;3;13;21;159073.0;4.27;37.254;13.201
Q6;Quận 6;2022;3;13;25;233561.0;7.19;32.712;10.704
Q7;Quận 7;2022;3;13;44;360155.0;35.69;10.091;12.217
Q8;Quận 8;2022;3;13;40;424667.0;19.18;22.222;9.419
TB;Tân Bình;2022;3;13;58;474792.0;22.43;21.168;12.216
TP;Tân Phú;2022;3;13;53;485348.0;15.97;30.391;10.92
TD;Thủ Đức;2022;3;13;187;1169967.0;211.56;5.53;15.983
BC;Bình Chánh;2022;4;14;144;705508.0;252.69;2.793;20.411
BT;Bình Tân;2022;4;14;117;784173.0;52.02;15.074;14.92
BTH;Bình Thạnh;2022;4;14;60;499164.0;20.76;24.021;12.02
CG;Cần Giờ;2022;4;14;16;71526.0;704.45;102.0;22.369
CC;Củ Chi;2022;4;14;75;462047.0;434.77;1.063;16.232
GV;Gò Vấp;2022;4;14;87;676899.0;19.73;34.308;12.853
HM;Hóc Môn;2022;4;14;74;542243.0;109.17;4.967;13.647
NB;Nhà Bè;2022;4;14;46;206837.0;100.43;2.06;22.24
PN;Phú Nhuận;2022;4;14;15;163961.0;4.86;33.599;9.149
Q1;Quận 1;2022;4;14;15;142625.0;7.73;18.451;10.517
Q10;Quận 10;2022;4;14;23;234819.0;5.72;41.052;9.795
Q11;Quận 11;2022;4;14;22;209867.0;5.14;40.83;10.483
Q12;Quận 12;2022;4;14;84;620146.0;52.74;11.921;13.545
Q3;Quận 3;2022;4;14;13;190375.0;4.92;38.694;6.829
Q4;Quận 4;2022;4;14;21;175329.0;4.18;41.945;11.977
Q5;Quận 5;2022;4;14;21;159073.0;4.27;37.254;13.201
Q6;Quận 6;2022;4;14;24;233561.0;7.19;32.712;10.276
Q7;Quận 7;2022;4;14;42;360155.0;35.69;10.091;11.662
Q8;Quận 8;2022;4;14;62;424667.0;19.18;22.222;14.6
TB;Tân Bình;2022;4;14;68;474792.0;22.43;21.168;14.322
TP;Tân Phú;2022;4;14;53;485348.0;15.97;30.391;10.92
TD;Thủ Đức;2022;4;14;194;1169967.0;211.56;5.53;16.582
BC;Bình Chánh;2022;4;15;171;705508.0;252.69;2.793;24.238
BT;Bình Tân;2022;4;15;112;784173.0;52.02;15.074;14.283
BTH;Bình Thạnh;2022;4;15;61;499164.0;20.76;24.021;12.22
CG;Cần Giờ;2022;4;15;11;71526.0;704.45;102.0;15.379
CC;Củ Chi;2022;4;15;65;462047.0;434.77;1.063;14.068
GV;Gò Vấp;2022;4;15;102;676899.0;19.73;34.308;15.069
HM;Hóc Môn;2022;4;15;80;542243.0;109.17;4.967;14.754
NB;Nhà Bè;2022;4;15;39;206837.0;100.43;2.06;18.855
PN;Phú Nhuận;2022;4;15;17;163961.0;4.86;33.599;10.368
Q1;Quận 1;2022;4;15;16;142625.0;7.73;18.451;11.218
Q10;Quận 10;2022;4;15;22;234819.0;5.72;41.052;9.369
Q11;Quận 11;2022;4;15;24;209867.0;5.14;40.83;11.436
Q12;Quận 12;2022;4;15;77;620146.0;52.74;11.921;12.416
Q3;Quận 3;2022;4;15;14;190375.0;4.92;38.694;7.354
Q4;Quận 4;2022;4;15;31;175329.0;4.18;41.945;17.681
Q5;Quận 5;2022;4;15;20;159073.0;4.27;37.254;12.573
Q6;Quận 6;2022;4;15;30;233561.0;7.19;32.712;12.845
Q7;Quận 7;2022;4;15;43;360155.0;35.69;10.091;11.939
Q8;Quận 8;2022;4;15;50;424667.0;19.18;22.222;11.774
TB;Tân Bình;2022;4;15;77;474792.0;22.43;21.168;16.218
TP;Tân Phú;2022;4;15;66;485348.0;15.97;30.391;13.598
TD;Thủ Đức;2022;4;15;163;1169967.0;211.56;5.53;13.932
